bn:00000002n;The Hague;hague_1372.4;rotterdam_427.35;amsterdam_415.35;city_218.8;netherlands_198.2;dutch_197.61;utrecht_186.22;the hague_160.32;page_137.18
bn:00000003n;.22 Long Rifle;rifle_2305.63;cartridge_2279.59;bullet_1365.01;barrel_957.51;firearm_910.38;shotgun_702.1;rimfire_563.73;caliber_535.97;ammunition_474.7
bn:00000005n;Tuple;number_754.0;integer_528.26;set_449.2;tuple_373.74;element_323.63;tuples_316.55;define_272.01;function_271.05;permutation_269.38
bn:00000006n;Dodecanol;alcohol_310.46;ethanol_74.72;dodecanol_45.46;ch_44.51;fatty_35.93;oh_33.61;carbon_33.53;aldehyde_32.11;methanol_31.53
bn:00000013n;Million;million_209.35;number_146.31;mathematics_61.3;long scale_53.31;real number_50.43;numeral_50.35;short scale_50.12;digit_42.17;bally_41.77
bn:00000014n;Long and short scales;bre_281.59;number_279.61;use_262.21;ame_259.95;word_238.32;noun_179.66;placeholder_151.5;verb_120.18;numeral_111.34
bn:00000015n;Orders of magnitude (numbers);mathematics_173.72;number_165.97;long scale_113.55;short scale_107.04;googolplex_60.55;biomed_58.95;computing_56.95;scale_49.46;poker_45.96
bn:00000017n;Eleven (TV channel);season_289.31;show_253.12;episode_241.87;ten_210.84;digit_195.38;network_190.31;repeat_156.97;series_156.36;prime_137.34
bn:00000018n;Eleven plus exam;school_1548.25;grammar school_813.21;pupil_447.73;education_286.66;student_177.23;comprehensive school_138.73;year_132.81;secondary school_122.91;iq_116.07
bn:00000019n;St. Martin's Day;carnival_361.58;martin_296.96;feast_122.61;martinmas_111.83;day_110.09;celebrate_109.81;samhain_103.86;celebration_87.64;quarter day_79.31
bn:00000021n;Twelve-tone technique;schoenberg_908.59;copland_512.06;twelve-tone_441.64;webern_411.35;composer_397.18;music_396.82;row_318.76;op_255.0;inversion_221.58
bn:00000023n;Thirteen (House);house_576.54;xiii_518.69;cuddy_438.34;thirteen_422.89;foreman_376.84;episode_244.92;number_224.52;taub_206.28;patient_137.94
bn:00000026n;Bastille Day;b._13340.5;american_8137.4;d._4744.58;actor_2889.07;actress_2638.07;singer_1452.33;english_763.32;british_691.45;politician_562.01
bn:00000029n;Victory over Japan Day;japanese_853.13;japan_288.88;allied_230.96;surrender_198.37;war_188.91;force_186.69;hatta_157.05;allies_155.9;indonesian_148.48
bn:00000030n;15 May Organization;bomb_47.77;pan am flight 830_21.13;bombing_18.82;haddad_16.39;ibrahim_14.62;zuhair_12.46;abu_10.62;pflp_10.31;al-queda_10.17
bn:00000033n;16PF Questionnaire;personality_667.36;trait_483.39;cattell_439.5;factor_380.7;agreeableness_250.37;factor analysis_227.77;extraversion_222.2;16pf_208.31;conscientiousness_191.4
